ra,dec
269.90719,67.85626442
269.90969,67.85664188
269.91219,67.85701935
269.91469,67.85739682
269.91719,67.85777429
269.91969,67.85815176
269.92219,67.85852923
269.92469,67.8589067
269.92719,67.85928417
269.92969,67.85966164
269.93219,67.85995967
269.93469,67.86015983
269.93719,67.86035999
269.93969,67.86056015
269.94219,67.86076031
269.94469,67.86096047
269.94719,67.86116063
269.94969,67.86136079
269.95219,67.86156095
269.95469,67.86176111
269.95719,67.86196127
269.95969,67.86216143
269.96219,67.86236159
269.96469,67.86256175
269.96719,67.86276191
269.96969,67.86296207
269.97219,67.86316223
269.97469,67.86336239
269.97719,67.86356255
269.97969,67.86376271
269.98219,67.86396287
269.98469,67.86416303
269.98719,67.86436319
